店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P00301,139.698616,35.6022198,ニラク大田長原店,東京都大田区上池台1-7-16,301,ニラク大田長原店,東京都,ニラク大田長原店
P04664,139.630357,35.5871058,ピーアーク新城マックスパチンコ,神奈川県川崎市中原区上新城2-10-10,4664,ピーアーク新城マックスパチンコ,神奈川県,ピーアーク新城マックスパチンコ
P09053,136.191043,35.970766,タイヨーネオ鯖江店,福井県鯖江市神中町2丁目4－1,9053,タイヨーネオ鯖江店,福井県,タイヨーネオ鯖江店
P00657,139.770335,35.7679842,メッセ扇店,東京都足立区扇2-46-8,657,メッセ扇店,東京都,メッセ扇店
P08968,137.421707,36.8377739,キングオブノースランド魚津店,富山県魚津市江口247,8968,KING OF NORTHLAND魚津店,富山県,KING OF NORTHLAND魚津店
P02982,139.777589,36.2782108,マルハン小山千駄塚店,栃木県小山市大字千駄塚２０３番地１,2982,マルハン小山千駄塚店,栃木県,マルハン小山千駄塚店
P02982,139.777589,36.2782108,マルハン小山千駄塚店,栃木県小山市大字千駄塚２０３番地１,2982,マルハン小山千駄塚店,熊本県,マルハン小山店
P06104,137.079882,34.9805331,ZENT住吉店,愛知県安城市住吉町荒曽根14,6104,ZENT住吉店,愛知県,ZENT住吉店
P05036,138.454201,35.712847,マルハン韮崎店,山梨県韮崎市若宮2丁目13番5号,5036,マルハン韮崎店,山梨県,マルハン韮崎店
P04531,139.558574,35.4283863,くいーぷ東戸塚店,神奈川県横浜市戸塚区品濃町519-5,4531,くいーぷ東戸塚店,神奈川県,くいーぷ東戸塚店
P00266,139.700104,35.5771635,ARROW池上店,東京都大田区池上3-3-1,266,ARROW池上店,東京都,ARROW池上店
P08426,134.812674,35.5059884,UFO豊岡,兵庫県豊岡市上佐野1417,8426,UFO豊岡,兵庫県,UFO豊岡
